Group-name,Task-name,start-date,end-date
Requirement Analysis,Gather Requirements,8/30/2024,9/15/2024
Requirement Analysis,Analyze Requirements,9/15/2024,9/30/2024
First Increment,Design,9/30/2024,10/30/2024
First Increment,Development,10/20/2024,11/30/2024
First Increment,Testing,11/20/2024,12/20/2024
First Increment,Implementation,12/20/2024,1/10/2025
Second Increment,Design,1/12/2025,2/15/2025
Second Increment,Development,1/20/2025,2/25/2025
Second Increment,Testing,2/20/2025,3/5/2025
Second Increment,Implementation,3/5/2025,3/20/2025
Third Increment,Design,3/20/2025,4/1/2025
Third Increment,Development,3/30/2025,4/15/2025
Third Increment,Testing,4/10/2025,4/20/2025
Third Increment,Implementation,4/20/2025,4/28/2025
